text,lemma,type,pos,BM_x,domain,posts,annotator_agreement,metaphoricity_percentage,related_MV,target_domain,BM_y,BM_hypernym,BM_def,CM,CM_def,curator_comment,BM_RAE,CM_RAE
delirio,delirio,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n']),"u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])",,,,,2,delirio-14387202-n,"physical_condition.n.01, attribute.n.02, condition.n.01, state.n.02, mental_disorder.n.01, disorder.n.01, abstraction.n.06, entity.n.01","a usually brief state of excitement and mental confusion often accompanied by hallucinations: delirio, delirium, delírium",delirio-14391876-n,"state of violent mental agitation: delirio, frenesí, histeria, histerismo, locura, manía",,,
demoledor,demoledor,uniword,ADJ,None,None,,,,resultado demoledor,,,,,,,,,
dentro,dentro,uniword,ADV,None,None,,,,,,,,,,,,,
dependen,depender,uniword,VERB,None,None,,,,depender algo de alguien,,,,,,,,,
depresión,depresión,uniword,NOUN,None,None,,,,,,,,,,,,,
,deriva,,,,,,,,,83,,,,mandar-01031256-v,,duda BM,,
derivaa,derivaa,uniword,VERB,None,None,,,,,,,,,,,,,
derivan;deriva,derivar,uniword,VERB,None,None,,,,derivar a urgencias,,,,,,,,,
derrumbamos,derrumbamos,uniword,VERB,None,None,,,,,,,,,,,,,
,derrumbar,,,,,,,,"derrumbar, derrumbar(se)",33,"derrumbar-01656458-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/derrumbarse-01972570-v",,,derrumbarse-02041877-v,"fall apart: ajar, ajarse, arruinar, colapsar, derribarse, derrumbarse, desmigajarse, desmoronar, desmoronarse, desplomar, romperse, venirse abajo",,,
derrumbo,derrumbo,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/vida-00006269-n']),u.c.StringArray(elements=['Estar enfermo con cáncer » Cambios vitales derivados del cáncer']),,,,,,,,,,,,,
desahogarte,desahogar tú,uniword,VERB,None,None,,,,,,,,,,,,,
desahogarme,desahogar yo,uniword,VERB,None,None,,,,,,,,,,,,,
,desahogar(se),,,,,,,,"desahogar(se), desahogo",30,desahogo-03303965-n,"whole.n.02, opening.n.10, object.n.01, physical_entity.n.01, entity.n.01, artifact.n.01","an opening that permits escape or release: desahogo, salida",desahogo-07493280-n,"the feeling that comes when something burdensome is removed or reduced: alivio, desahogo, descanso, respiro, sosiego, tranquilidad",,,
desahogarte.,desahogarte,uniword,NOUN,None,None,,,,,,,,,,,,,
desahogo,desahogo,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n']),"u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])",,,,,,,,,,,,,
,desalentador,,,,,,,,noticia desalentadora,53,aliento-14841770-n,"entity.n.01, air.n.01, fluid.n.02, physical_entity.n.01, gas.n.02, matter.n.03",,desalentador-00364881-a,,,,
desalentadoras,desalentadora,uniword,ADJ,None,None,,,,,,,,,,,,,
desanime,desanime,uniword,ADV,None,None,,,,,,,,,,,,,
desaparecer;desapareciendo;desaparece;desaparecieron;desaparecía;desapareció,desaparecer,uniword,VERB,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,,11,desaparecer-02156844-v,"end.v.01, vanish.v.02",go away or disappear: desaparecer,,,duda,,u.c.StringArray(elements=['dejar de existir. (rae)'])
desaparecido,desaparecido,uniword,ADJ,None,None,,,,,,desaparici%C3%B3n-00053609-n,"act.n.02, event.n.01, departure.n.01, psychological_feature.n.01, abstraction.n.06, entity.n.01",,"remitir-00268314-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/desaparecer-00267681-v",,,,
desaparición,desaparición,uniword,NOUN,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,,,,,,,,,,
desarrollar,desarrollar,uniword,VERB,None,None,,,,,,,,,,,,,
desarrollo,desarrollo,uniword,NOUN,None,None,,,,"desarrollar medicamentos, desarrollar un cáncer, desarrollar defensas ",,,,,,,,,
descalabros,descalabro,uniword,NOUN,None,None,,,,"siento que, tan joven, te toque pasar por estos ""descalabros"" que la vida nos prepara!",2,descalabro-07318299-n,"entity.n.01, failure.n.02, event.n.01, psychological_feature.n.01, abstraction.n.06, happening.n.01",,,,mwe,,
,descalabros,,,,,,,,,81,descalabro-07318299-n,"entity.n.01, failure.n.02, event.n.01, psychological_feature.n.01, abstraction.n.06, happening.n.01","a complete or conspicuous failure: caída abrupta, descalabro",descalabro-07475870-n,"an unfortunate happening that hinders or impedes; something that is thwarting or frustrating: adversidad, contratiempo, descalabro, percance, revés, tropiezo",,,
descansando;descansar,descansar,uniword,VERB,None,None,,,,,26,descansar-00014405-v,"lie.v.02, recumb.v.01","be at rest: descansar, dormir, reposar",descansar-01548072-v,"lie when dead: descansar, reposar",,,
,descargar,,,,,,,,,30,descargar-00448680-v,"change_state.v.01, change.v.02","become empty or void of its content: desalojar, descargar, descargarse, desocupar, vaciar",descargar-01815471-v,discharge bad feelings or tension through verbalization: descargar,,,
descartó;descartan;descartar;descartamos,descartar,uniword,VERB,None,None,,,,,61,descarte-00091503-n,"act.n.02, abstraction.n.06, event.n.01, psychological_feature.n.01, abandonment.n.03, disposal.n.03, entity.n.01",,descartar-00685419-v,,,,
desconectar,desconectar,uniword,VERB,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,,30,"desconectar-01356038-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/desconectar-01510576-v",,,"relajar-00025985-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/relajarse-00082308-v",,,,
descubrimiento,descubrimiento,uniword,PROPN,None,u.c.StringArray(elements=['personas>>apoyo']),,,,,,,,,,,,,
descubrieron;descubren,descubrir,uniword,VERB,None,None,,,,"descubrir, descubrimiento","53, 34",descubrimiento-00043195-n,"act.n.02, event.n.01, psychological_feature.n.01, abstraction.n.06, entity.n.01","the act of discovering something: descubrimiento, hallazgo",descubrimiento-05808218-n,"a productive insight: descubrimiento, hallazgo",,,
desechar;desecha,desechar,uniword,VERB,None,None,,,,"desechar, desecha",33,desechar-00569870-v,"change.v.01, convert.v.02","make into scrap or refuse: desechar, desguazar",,,,,"u.c.StringArray(elements=['prnl. afligirse mucho, consumirse, estar sumamente impaciente o inquieto. (rae)'])"
desenlace,desenlace,uniword,NOUN,None,None,,,,,5,desenlace-06743867-n,"statement.n.01, solution.n.02, message.n.02, communication.n.02, abstraction.n.06, entity.n.01",,diagnóstico médico-00153105-n,,,,
,desfallecer,,,,,,,,,33,desfallecimiento-14016361-n,"attribute.n.02, state.n.02, abstraction.n.06, temporary_state.n.01, entity.n.01",,,,duda post 80,,
desfallezcais,desfallezcais,uniword,ADJ,None,None,,,,,,,,,,,,,
desfallezcas,desfallezcar,uniword,VERB,None,None,,,,,,,,,,,,,
desgarra,desgarra,uniword,VERB,None,None,,,,,,,,,,,,,
desgarrador,desgarrador,uniword,ADJ,None,u.c.StringArray(elements=['personas>>apoyo']),,,,,,,,,,,,,
,desgarrar,,,,,,,,"desgarrar, desgarrador",33,desgarrar-00292672-v,"damage.v.01, change.v.01","destroy or injure severely: desfigurar, desgarrar, destrozar, mutilar","desgarrador-01365544-a', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/desgarrador-01711724-a",,,,
desgaste,desgaste,uniword,NOUN,None,None,,,,,2,desgaste-13423615-n,"erosion.n.01, natural_process.n.01, geological_process.n.01, physical_entity.n.01, process.n.06, entity.n.01","erosion by friction: abrasión, corrasion, corrosión, desgaste, rozadura",,,,,"u.c.StringArray(elements=['perder fuerza, vigor o poder. (rae)'])"
desgracia,desgracia,uniword,NOUN,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,,2,desgracia-00217773-n,"act.n.02, abstraction.n.06, event.n.01, termination.n.05, change_of_state.n.01, psychological_feature.n.01, action.n.01, destruction.n.01, change.n.03, entity.n.01",,,,,,
deshacerme,deshacer yo,uniword,VERB,None,None,,,,,,,,,,,,,
,deshacer(se),,,,,,,,,11,deshacer-00447309-v,"change.v.02, change_integrity.v.01","cause to go into a solution: deshacer, diluir, disolver",deshacer-01564144-v,"destroy completely; damage irreparably: arrasar, arruinar, deshacer, destrozar, destruir, romper",,,
desolados,desolado,uniword,ADJ,None,None,,,,,"32, 36",desolado-01242750-a,,"providing no shelter or sustenance: desierto, desolado, desértico, estéril, yermo, árido",desolador-01229561-a,"offering little or no hope: desolador, negro, sombrío",,,
desorientada,desorientado,uniword,ADJ,None,None,,,,,38,orientación-13828075-n,"entity.n.01, direction.n.02, position.n.07, abstraction.n.06, relation.n.01",,,,,,
,despedir,,,,,,,,despedirse del mundo,26,despedirse-00900961-v,"address.v.09, greet.v.01, travel.v.01, come.v.01",,morir-00358431-v,,mwe,,
despedìa,despedìa,uniword,ADJ,None,None,,,,,,,,,,,,,
despejan,despejar,uniword,VERB,None,None,,,,,7,despejar-00181559-v,remove.v.01,"remove from sight: despejar, quitar los estorbos, sacar",despejarse-02771169-v,"become clear: abrir, aclarar, aclararse, despejar, despejarse, mejorar, salir el so, salir el sol",,,
destrozada;destrozado,destrozado,uniword,ADJ,"u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/destrozar-00292672-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/destrozar-00333758-v'])",u.c.StringArray(elements=['Emociones » Molestia (física o mental)']),,,,,,,,,,,,,
destroza,destrozar,uniword,VERB,None,None,,,,"destrozar, destrozado","33, 11, 21",destrozar-00333758-v,"burst.v.08, break.v.02, change.v.02, change_integrity.v.01","break into many pieces: destrozar, destrozarse, estrellar, hacer añicos, reventarse",destrozar-00260311-v,"overwhelm or overpower: anonadar, arrasar, destrozar, devastar",,,
detener,detener,uniword,VERB,None,None,,,,,12,detener-01859221-v,,,,,mwe,,
detenerlo,detener él,uniword,VERB,None,None,,,,,,,,,,,,,
devastada;devastado,devastado,uniword,ADJ,None,None,,,,"devastador, devastado",3,devastar-00388635-v,destroy.v.02,"cause extensive destruction or ruin utterly: arrasar, asolar, desgastar, desolar, destrozar, destruir, devastar, gastar",devastar-00260311-v,"overwhelm or overpower: anonadar, arrasar, destrozar, devastar",,,
devastador,devastador,uniword,ADJ,None,None,,,,,,,,,,,,,
devuelva,devolver,uniword,VERB,None,None,,,,sueño que mi cuerpo me devuelva la fertilidad,,,,,,,mwe,,
dierais,dierais,uniword,VERB,None,None,,,,,,,,,,,,,
dificil,dificil,uniword,ADJ,None,None,,,,,,,,,,,,,
difícil,difícil,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros']),,,,,35,,,,dif%C3%ADcil-00744916-a,,,u.c.StringArray(elements=['que presenta obstáculos (‖ impedimentos). (rae)']),
digeriendo,digerir,uniword,VERB,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,digerir noticias,53,"alimentación-00838367-n""",,,digerir-00590924-v,,,,
directos;directas;directa,directo,uniword,ADJ,None,None,,,,"respuesta directa, pregunta directa, ser directo",,,,,,,,,
dirigidos;dirigido;dirigidas;dirigida,dirigido,uniword,ADJ,None,None,,,,,,,,,,,,,
dirigieron,dirigir,uniword,VERB,None,None,,,,,72,dirigir-01931768-v,control.v.01,,dirigir-01151889-v,,,,
diseminado,diseminado,uniword,ADJ,None,None,,,,diseminar el cáncer,,,,,,,,,
disipado.;disipado,disipado,uniword,ADJ,None,None,,,,disipar el tumor,,,,,,,,,
disipara,disipar,uniword,VERB,None,None,,,,,,,,,,,,,
disminuye,disminuir,uniword,VERB,None,None,,,,disminuir el estrés,,,,,,,,,
dolor,dolor,uniword,NOUN,"u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/destrozar-00292672-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/destrozar-00333758-v'])",u.c.StringArray(elements=['Emociones » Molestia (física o mental)']),,,,,3,dolor-14322699-n,"information.n.02, psychological_feature.n.01, symptom.n.01, evidence.n.01, abstraction.n.06, entity.n.01, cognition.n.01",a symptom of some physical hurt or disorder: dolor,dolor-05833683-n,"something that causes great unhappiness: aflicción, dolor, infelicidad, pena, pesar, tristeza",,,
"dormido"";dormido",dormido,uniword,ADJ,None,None,,,,,,,,,,,,,
,dormir,,,,,,,,dormir el tumor,,,,,,,,,
dormirlo,dormir él,uniword,VERB,None,None,,,,,,,,,,,,,
droga.;droga,droga,uniword,NOUN,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,,6,,,,,,no met,,
dure;durar,durar,uniword,VERB,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,,26,durar-02410175-v,"keep.v.01, prolong.v.02, continue.v.03","allow to remain in a place or position or maintain a property or feature: conservar, continuar, durar, quedarse, seguir",durar-02614181-v,"have life, be alive: durar, existir, morar, vivir",,,
durisimo,durisimo,uniword,ADV,None,None,,,,,,,,,,,,,
duros;dura batalla.;duro.;dura;duras;duro,duro,uniword,ADJ,None,None,,,,,"2, 6, 23, 35, 21",duro-01152620-a,,"resistant to physical force or pressure: duro, severo, terminante",duro-00746047-a,"hard to deal with; especially causing pain or embarrassment: delicado, dificultoso, difícil, duro",,,
durísimo;durísima,durísimo,uniword,ADJ,None,None,,,,,,,,,,,,,
débil,débil,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros']),,,,"débil, debilidad, debilitado",26,d%C3%A9bil-01747364-a,,,d%C3%A9bil-01178134-a,,,,
débil,débil,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros']),,,,"débil, debilidad, debilitado",26,d%C3%A9bil-01827766-a,,,d%C3%A9bil-01178134-a,,,,
déjate,déjatar,uniword,VERB,None,None,,,,,,,,,,,,,
,echar,,,,,"30, 40, 59, 87",,,"echar un poco de cabeza, echar un vistazo, echar una mano, dejar echo polvo",,,,,,,,,
el bicho;el tema,el,multiword,DET,None,u.c.StringArray(elements=['Tratamiento']),,,,,,,,,,,,,
elevado,elevado,uniword,ADJ,None,None,,,,,,,,,,,,,
eliminación,eliminación,uniword,NOUN,None,None,,,,,,,,,,,,,
eliminaron;eliminar;eliminado,eliminar,uniword,VERB,None,None,,,,"eliminar, eliminación, eliminado","21, 11, 22","eliminar-00173338-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/eliminar-02482425-v",,,"eliminar-00072989-v, matar, quitar",,,,
elimine,eliminir,uniword,VERB,None,u.c.StringArray(elements=['Tratamiento']),,,,,,,,,,,,,
empieza;empezando,empezar,uniword,VERB,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,,62,empezar-00345761-v,,"take the first step or steps in carrying out an action: comenzar, empezar, estrenar, iniciar, originar, partir, principiar",,,,,
empleada,empleado,uniword,ADJ,None,None,,,,,,,,,,,,,
,emplear,,,,,,,,,64,reclutar-02240151-v,"obtain.v.01, procure.v.01, get.v.01","hire for work or assistance: contratar, emplear, reclutar",utilizar-01158872-v,,,,
encajando,encajar,uniword,VERB,None,None,,,,,22,encajar-01527271-v,move.v.02,,solucionar-00698855-v,,,,
encargado,encargado,uniword,ADJ,None,None,,,,,64,encargar-00746718-v,"communicate.v.01, request.v.02, transfer.v.02, ask.v.02, request.v.01, move.v.02, convey.v.03",,utilizar-01158872-v,,,,
enciende;enciende una alarma,encender,uniword,VERB,None,None,,,,,,,,,,,,,
enchufan,enchufan,uniword,NOUN,None,None,,,,,,,,,,,,,
,enchufar,,,,,,,,,6,"plug into an outlet: conectar, enchufar",,,tratar-00080304-v,,,,
encontrar;encontraba;encontraron;encuentras;encuentre;encontré;encuentra;encontrado;encontró;encontramos;encuentro,encontrar,uniword,VERB,None,None,,,,"encontrar, encontrado",76,encontrar-00721437-v,learn.v.02,"make a discovery: averigüar, descubrir, encontrar",conocer-00594337-v,"be familiar or acquainted with a person or an object: conocer, saber",,,
encontrar;encontraba;encontraron;encuentras;encuentre;encontré;encuentra;encontrado;encontró;encontramos;encuentro,encontrar,uniword,VERB,None,None,,,,"encontrar, encontrado","52, 53, 11",encontrar-00721437-v,learn.v.02,"make a discovery: averigüar, descubrir, encontrar",encontrar-00918872-v,"establish after a calculation, investigation, experiment, survey, or study: decidir, descubrir, determinar, encontrar",,,
encontrar;encontraba;encontraron;encuentras;encuentre;encontré;encuentra;encontrado;encontró;encontramos;encuentro,encontrar,uniword,VERB,None,None,,,,"encontrar, encontrado","34, 39, 21",encontrar-00721437-v,learn.v.02,"make a discovery: averigüar, descubrir, encontrar",encontrar-02739480-v,"experience as a reaction: encontrar, encontrarse, recibir, recibirse",,,
encontrarla,encontrar él,uniword,VERB,None,None,,,,,,,,,,,,,
encontraran,encontrarar,uniword,VERB,None,None,,,,,,,,,,,,,
enemigo,enemigo,uniword,ADJ,None,None,,,,,11,enemigo-07946851-n,"abstraction.n.06, entity.n.01, people.n.01, group.n.01",any hostile group of people: enemigo,cáncer-14239918-n,"any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream: carcinoma, cáncer",,,
energía,energía,uniword,NOUN,None,None,,,,te mando energía,34,energía-11452218-n,"natural_phenomenon.n.01, phenomenon.n.01, physical_phenomenon.n.01, physical_entity.n.01, process.n.06, entity.n.01",,,,mwe,,
enferma,enferma,uniword,NOUN,None,None,,,,,,,,,,,,,
,enfermo,,,,,,,,,33,enferma-02541302-a,,"affected by an impairment of normal physical or mental function: enferma, enfermo",enfermarse-02195191-v,"upset and make nauseated: causar náuseas, dar náuseas, enfermar, enfermarse, nausear",,,
enfocado,enfocado,uniword,ADJ,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,,31,enfocar-00292368-v,"lighten.v.05, change.v.02, light.v.01","illuminate with a spotlight, as in the theater: destacar, enfocar",enfocar-00722232-v,"[""direct one's attention on something: centrar, clavar, concentrar, concentrarse, enfocar, fijar""]",,,
enfrentando;enfrentar;enfrenta,enfrentar,uniword,VERB,None,None,,,,,,,,,,,,,
,enfrentar(se),,,,,,,,"entrentar, enfrentar(se)","2, 53, 26",enfrentarse-01079480-v,,"contend against an opponent in a sport, game, or battle: enfrentar, enfrentarse, jugar","enfrentarse-00812298-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/enfrentarse-01079480-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/enfrentarse-01091427-v","deal with (something unpleasant) head on: afrontar, confrontar, enfrentar, enfrentarse",,,
enfrentarte,enfrentartar,uniword,VERB,None,None,,,,,,,,,,,,,
enmarcan,enmarcar,uniword,VERB,None,None,,,,,,,,,,,,,
enorme,enorme,uniword,ADJ,None,None,,,,,,,,,,,,,
,enrollar(se),,,,,,,,,81,enrollar-00435688-v,"change_surface.v.01, change.v.02",,hablar-00941990-v,,,,
enrollo,enrollo,uniword,NOUN,None,None,,,,,,,,,,,,,
ensayo,ensayo,uniword,PROPN,None,None,,,,ensayo clínico,,,,,,,mwe,,
entienden,entender,uniword,VERB,None,None,,,,,73,entender-00588221-v,understand.v.01,"get the meaning of something: aferrar, aprehender, captar, comprender, entender",entender-00590642-v,"comprehend: comprender, entender, tocar",,,
entereza,entereza,uniword,NOUN,None,None,,,,,3,entereza-14461231-n,"attribute.n.02, integrity.n.01, state.n.02, abstraction.n.06, entity.n.01, completeness.n.01","the state of being total and complete: enterez, entereza, integridad, totalidad",entereza-05032193-n,"strength of mind that enables one to endure adversity with courage: aguante, coraje, entereza, fortaleza",,,
entrada,entrada,uniword,NOUN,None,None,,,,,,,,,,,,,
entrado,entrado,uniword,ADJ,None,None,,,,,,,,,,,,,
entrar;entra,entrar,uniword,VERB,None,None,,,,,76,entrar-02016523-v,,"to come or go into: entrar, ingresar, moverse adentro",entrar-01082606-v,"become a participant; be involved in: entrar, intervenir, participar",,,
entrar;entra,entrar,uniword,VERB,None,None,,,,,11,entrar-02016523-v,,"to come or go into: entrar, ingresar, moverse adentro",estar enfermo-00065370-v,"suffer from; be ill with: estar enfermo, padecer, tener",,u.c.StringArray(elements=['intr. ir o pasar de fuera adentro. (rae)']),
entre,entre,uniword,ADP,None,None,,,,,,,,,,,,,
enviar;enviaron,enviar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/maligno-00225099-a']),u.c.StringArray(elements=['Cancer » Otros']),,,,"enviar, envío",83,"enviar-01031256-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/enviar-01062555-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/enviar-01437254-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/enviar-01950798-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/enviar-01955127-v",,,enviar-02348568-v,"cause to be admitted; of persons to an institution: enviar, ingresar, institucionalizar, internar",,,u.c.StringArray(elements=['encomendar a alguien que vaya a alguna parte (rae).'])
envío,envío,uniword,NOUN,None,None,,,,,,,,,,,,,
episodios,episodio,uniword,NOUN,None,None,,,,,25,capítulo-06621771-n,"broadcast.n.02, show.n.03, event.n.01, social_event.n.01, psychological_feature.n.01, abstraction.n.06, entity.n.01",,episodio-07289956-n,,,,
escapar,escapar,uniword,VERB,None,None,,,,,22,escapar-02008396-v,leave.v.01,"go away or leave: escapar, irse, marchar, partir",curarse-00270561-v,"heal or recover: arreglar, curar, curarse, mejorar, sanar, sanear",,,
escapar,escapar,uniword,VERB,None,None,,,,,"12, 22",escapar-02074677-v,"flee.v.01, scat.v.01, leave.v.01","run away from confinement: desatarse, escapar, escaparse, evadir, evadirse, fugarse, huir, irse, librarse","escapar-00810729-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/saludable-01170243-a",,,,
,escenario,,,,,,,,,52,,,,,,,,
,escuchar,,,,,,,,,77,escuchar-02169891-v,perceive.v.01,"hear with intention: atender, escuchar",escuchar+atentamente-02170427-v,,,,
escucharme,escucharme,uniword,VERB,None,None,,,,,,,,,,,,,
espacio;espacios,espacio,uniword,NOUN,None,None,"70, 36",,,,,,,,,,,,
,esperanza,,,,,,,,tener esperanza,31,"esperanza-05950733-n', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/esperanza-07541053-n",,,"esperanza-14483620-n', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/esperanza+de+vida-15142025-n",,,,
estabilizaron;estabilizan;estabilizar,estabilizar,uniword,VERB,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,"estabilizar, estable",28,estable-00894551-a,,maintaining equilibrium: estable,estable-01754421-a,"continuing or enduring without marked change in status or condition or place: estable, fijo, permanente",,u.c.StringArray(elements=['que mantiene o recupera el equilibrio.']),
estable.;estables.;estables;estables .;estable,estable,uniword,ADJ,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,,,,,,,,,,
establecieran,establecer,uniword,VERB,None,None,,,,,,,,,,,,,
estado o estén,estado,multiword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a']),u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,,,,,,,,,,
estamontaña rusa,estamontaña,multiword,NOUN,None,None,,,,,,,,,,,,,
estancado,estancado,uniword,ADJ,None,None,,,,,,,,,,,,,
,estancar,,,,,,,,"estancar, estancado",,,,,,,,,
estaba pasando;estar;estáis en;estoy en;estáis luchando;está yendo;estaba;está limpiooo,estar,uniword,AUX,None,None,,,,,76,estar-02655135-v,,"occupy a certain position or area; be somewhere: estar, haber",participar-01082606-v,"become a participant; be involved in: entrar, intervenir, participar",,,
estaba pasando;estar;estáis en;estoy en;estáis luchando;está yendo;estaba;está limpiooo,estar,uniword,AUX,None,None,,,,pasar por,26,estar-02655135-v,,"occupy a certain position or area; be somewhere: estar, haber",vivir-02614181-v,"have life, be alive: durar, existir, morar, vivir",,,
éste sitio,este,multiword,DET,None,None,,,,,,,,,,,,,
estocada,estocada,uniword,NOUN,None,None,,,,,33,estocada-00290276-n,"act.n.02, abstraction.n.06, event.n.01, motion.n.06, psychological_feature.n.01, action.n.01, change.n.03, entity.n.01","(no definition): arremetida, embestida, estocada",pasmo-07509572-n,"the feeling that accompanies something extremely surprising: admiración, asombro, estupefacción, estupor, pasmo, sorpresa",,,
estoydescubriendo,estoydescubreir,uniword,VERB,None,None,,,,,,,,,,,,,
estudios,estudio,uniword,NOUN,None,None,,,,,,,,,,,,,
,estudios,,,,,,,,realizar los estudios,85,,,,,,metonimia,,
estáis,estáis,uniword,AUX,None,None,,,,,,,,,,,,,
evacuar,evacuar,uniword,VERB,None,None,,,,,23,desalojar-02076676-v,leave.v.01,,cagar-00074038-v,,,,
evaden,evadir,uniword,VERB,None,None,,,,evadir preguntas,53,evadir-02074677-v,"flee.v.01, scat.v.01, leave.v.01",,evitar-00811171-v,,,,
,evitar,,,,,,,,,51,evitar-02096494-v,move.v.03,"make a sudden movement in a new direction so as to avoid: eludir, esquivar, evitar",evitar-02599878-v,take precautions in order to avoid some unwanted consequence: evitar,,,
evitarlo,evitar él,uniword,VERB,None,u.c.StringArray(elements=['Diagnóstico » Toma de decisiones']),,,,,,,,,,,,,
evitareliminar,evitareliminar,uniword,VERB,None,None,,,,,,,,,,,,,
evoluciona,evolucionar,uniword,VERB,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,"evolucionar, evolución",2,,,,"evolucionar-01738597-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/evoluci%C3%B3n-00282050-n",,,,
evoluciòn,evoluciòn,uniword,PROPN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/durar-02410175-v']),u.c.StringArray(elements=['Estar enfermo con cáncer » Muerte']),,,,,,,,,,,,,
evolución,evolución,uniword,NOUN,None,None,,,,,,,,,,,,,
,exagerar,,,,,,,,sangrado exagerado,23,exagerado-01534282-a,,,,,duda,,
existencia,existencia,uniword,NOUN,None,None,,,,,,,,,,,,,
existe,existir,uniword,VERB,None,None,,,,"existir, existencia",3,existir-02603699-v,,"have an existence, be extant: existir, haber, ser",existir-02614181-v,"have life, be alive: durar, existir, morar, vivir",,,
experiencia,experiencia,uniword,NOUN,None,None,,,,,,,,,,,,,
exponer,exponer,uniword,VERB,None,u.c.StringArray(elements=['Tratamiento']),,,,,30,,,,exponer-00875806-v,"bring forward for consideration or acceptance: avanzar, exponer, proponer, propugnar",,u.c.StringArray(elements=['tr. presentar algo para que sea visto. (rae)']),
,expulsar,,,,,,,,,30,expulsar-02222318-v,get_rid_of.v.01,"throw or cast away: arrojar, botar, descartar, desechar, deshacerse, echar, expulsar, naufragar, olvidar, tirar",desahogado-00479330-a,"free from stress or conducive to mental ease; having or affording peace of mind: cómodo, desahogado",,,
expúlsalo.cuando,expúlsalo.cuar,uniword,VERB,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,,,,,,,,,,
extendía;extendió,extender,uniword,VERB,None,None,,,,"extender, extenso, extendido, extender una noticia, extender un tumor","53, 81",extender-02082690-v,"circulate.v.03, move.v.02",,diseminar-00968211-v,,,,
extendía;extendió,extender,uniword,VERB,None,None,,,,"extender, extenso, extendido, extender una noticia, extender un tumor",11,extender-02082690-v,"circulate.v.03, move.v.02",,metástasis-13514314-n,,,,
extendido,extendido,uniword,ADJ,None,None,,,,,,,,,,,,,
